state,period,amount
South Dakota,2015,593125
Tennessee,2015,3856333
Texas,2015,16409479
Utah,2015,1866188
Vermont,2015,432827
Virginia,2015,5060884
Washington,2015,4199125
West Virginia,2015,901911
Wisconsin,2015,3626124
Wyoming,2015,405762
New England,2015,9657694
Mideast,2015,29960906
Great Lakes,2015,27533124
Plains,2015,13788391
Southeast,2015,46284360
Southwest,2015,23336462
Rocky Mountain,2015,7452755
Far West,2015,32304108
United States,2016,193368900
Alabama,2016,2620993
Alaska,2016,457066
Arizona,2016,3646813
Arkansas,2016,1628582
California,2016,23169071
Colorado,2016,3664707
Connecticut,2016,2300577
Delaware,2016,578770
District of Columbia,2016,891169
Florida,2016,11673432
Georgia,2016,5970472
Hawaii,2016,912896
Idaho,2016,975802
Illinois,2016,7798813
Indiana,2016,3847454
Iowa,2016,2066639
Kansas,2016,1916820
Kentucky,2016,2497911
Louisiana,2016,2689751
Maine,2016,826971
Maryland,2016,3656550
Massachusetts,2016,4710176
Michigan,2016,5577377
Minnesota,2016,3701715
Mississippi,2016,1580194
Missouri,2016,3702082
Montana,2016,667559
Nebraska,2016,1311914
Nevada,2016,1724769
New Hampshire,2016,873508
New Jersey,2016,5391181
New Mexico,2016,1092406
New York,2016,12259662
North Carolina,2016,5829499
North Dakota,2016,579244
Ohio,2016,6928931
Oklahoma,2016,2285022
Oregon,2016,2447178
Pennsylvania,2016,7597336
Rhode Island,2016,632532
South Carolina,2016,2699580
South Dakota,2016,598061
Tennessee,2016,3946960
Texas,2016,16674238
Utah,2016,1933340
Vermont,2016,434040
Virginia,2016,5143667
Washington,2016,4310173
West Virginia,2016,887107
Wisconsin,2016,3660276
Wyoming,2016,397914
New England,2016,9777804
Mideast,2016,30374668
Great Lakes,2016,27812851
Plains,2016,13876475
Southeast,2016,47168148
Southwest,2016,23698479
Rocky Mountain,2016,7639322
Far West,2016,33021153
United States,2017,196132200
Alabama,2017,2652406
Alaska,2017,454094
Arizona,2017,3727687
Arkansas,2017,1640722
California,2017,23584800
Colorado,2017,3743025
Connecticut,2017,2314217
Delaware,2017,584066
District of Columbia,2017,899124
Florida,2017,11912889
Georgia,2017,6083808
