industry,period,amount
All industry total,2011:Q2,15349070
  Private industries,2011:Q2,13289142
"      Agriculture, forestry, fishing, and hunting",2011:Q2,192318
"      Mining, quarrying, and oil and gas extraction",2011:Q2,402291
      Utilities,2011:Q2,273680
      Construction,2011:Q2,542614
      Manufacturing,2011:Q2,1899002
          Durable goods manufacturing,2011:Q2,991029
          Nondurable goods manufacturing,2011:Q2,907972
      Wholesale trade,2011:Q2,904575
      Retail trade,2011:Q2,885093
      Transportation and warehousing,2011:Q2,445666
      Information,2011:Q2,731525
      Finance and insurance,2011:Q2,1020119
      Real estate and rental and leasing,2011:Q2,2003067
"      Professional, scientific, and technical services",2011:Q2,1072302
      Management of companies and enterprises,2011:Q2,281589
      Administrative and support and waste management and remediation services,2011:Q2,455285
      Educational services,2011:Q2,174878
      Health care and social assistance,2011:Q2,1108265
"      Arts, entertainment, and recreation",2011:Q2,147471
      Accommodation and food services,2011:Q2,411954
      Other services (except government and government enterprises),2011:Q2,337446
  Government and government enterprises,2011:Q2,2059928
All industry total,2011:Q3,15474084
  Private industries,2011:Q3,13410950
"      Agriculture, forestry, fishing, and hunting",2011:Q3,200378
"      Mining, quarrying, and oil and gas extraction",2011:Q3,402566
      Utilities,2011:Q3,274044
      Construction,2011:Q3,552756
      Manufacturing,2011:Q3,1914398
          Durable goods manufacturing,2011:Q3,1000562
          Nondurable goods manufacturing,2011:Q3,913837
      Wholesale trade,2011:Q3,906655
      Retail trade,2011:Q3,893765
      Transportation and warehousing,2011:Q3,446174
      Information,2011:Q3,726316
      Finance and insurance,2011:Q3,1046999
      Real estate and rental and leasing,2011:Q3,2024485
"      Professional, scientific, and technical services",2011:Q3,1082117
      Management of companies and enterprises,2011:Q3,279664
      Administrative and support and waste management and remediation services,2011:Q3,460538
      Educational services,2011:Q3,176585
      Health care and social assistance,2011:Q3,1117541
"      Arts, entertainment, and recreation",2011:Q3,149890
      Accommodation and food services,2011:Q3,415961
      Other services (except government and government enterprises),2011:Q3,340118
  Government and government enterprises,2011:Q3,2063134
All industry total,2011:Q4,15672175
  Private industries,2011:Q4,13613660
"      Agriculture, forestry, fishing, and hunting",2011:Q4,198324
"      Mining, quarrying, and oil and gas extraction",2011:Q4,421530
      Utilities,2011:Q4,279871
      Construction,2011:Q4,562354
