,Year,Period,Label,Observation Value
589,1997,M02,1997 Feb,5.7
590,1997,M03,1997 Mar,5.5
591,1997,M04,1997 Apr,4.8
592,1997,M05,1997 May,4.7
593,1997,M06,1997 Jun,5.2
594,1997,M07,1997 Jul,5.0
595,1997,M08,1997 Aug,4.8
596,1997,M09,1997 Sep,4.7
597,1997,M10,1997 Oct,4.4
598,1997,M11,1997 Nov,4.3
599,1997,M12,1997 Dec,4.4
600,1998,M01,1998 Jan,5.2
601,1998,M02,1998 Feb,5.0
602,1998,M03,1998 Mar,5.0
603,1998,M04,1998 Apr,4.1
604,1998,M05,1998 May,4.2
605,1998,M06,1998 Jun,4.7
606,1998,M07,1998 Jul,4.7
607,1998,M08,1998 Aug,4.5
608,1998,M09,1998 Sep,4.4
609,1998,M10,1998 Oct,4.2
610,1998,M11,1998 Nov,4.1
611,1998,M12,1998 Dec,4.0
612,1999,M01,1999 Jan,4.8
613,1999,M02,1999 Feb,4.7
614,1999,M03,1999 Mar,4.4
615,1999,M04,1999 Apr,4.1
616,1999,M05,1999 May,4.0
617,1999,M06,1999 Jun,4.5
618,1999,M07,1999 Jul,4.5
619,1999,M08,1999 Aug,4.2
620,1999,M09,1999 Sep,4.1
621,1999,M10,1999 Oct,3.8
622,1999,M11,1999 Nov,3.8
623,1999,M12,1999 Dec,3.7
624,2000,M01,2000 Jan,4.5
625,2000,M02,2000 Feb,4.4
626,2000,M03,2000 Mar,4.3
627,2000,M04,2000 Apr,3.7
628,2000,M05,2000 May,3.8
629,2000,M06,2000 Jun,4.1
630,2000,M07,2000 Jul,4.2
631,2000,M08,2000 Aug,4.1
632,2000,M09,2000 Sep,3.8
633,2000,M10,2000 Oct,3.6
634,2000,M11,2000 Nov,3.7
635,2000,M12,2000 Dec,3.7
636,2001,M01,2001 Jan,4.7
637,2001,M02,2001 Feb,4.6
638,2001,M03,2001 Mar,4.5
639,2001,M04,2001 Apr,4.2
640,2001,M05,2001 May,4.1
641,2001,M06,2001 Jun,4.7
642,2001,M07,2001 Jul,4.7
643,2001,M08,2001 Aug,4.9
644,2001,M09,2001 Sep,4.7
645,2001,M10,2001 Oct,5.0
646,2001,M11,2001 Nov,5.3
647,2001,M12,2001 Dec,5.4
648,2002,M01,2002 Jan,6.3
649,2002,M02,2002 Feb,6.1
650,2002,M03,2002 Mar,6.1
651,2002,M04,2002 Apr,5.7
652,2002,M05,2002 May,5.5
653,2002,M06,2002 Jun,6.0
654,2002,M07,2002 Jul,5.9
655,2002,M08,2002 Aug,5.7
656,2002,M09,2002 Sep,5.4
657,2002,M10,2002 Oct,5.3
658,2002,M11,2002 Nov,5.6
659,2002,M12,2002 Dec,5.7
660,2003,M01,2003 Jan,6.5
661,2003,M02,2003 Feb,6.4
662,2003,M03,2003 Mar,6.2
663,2003,M04,2003 Apr,5.8
664,2003,M05,2003 May,5.8
665,2003,M06,2003 Jun,6.5
666,2003,M07,2003 Jul,6.3
667,2003,M08,2003 Aug,6.0
668,2003,M09,2003 Sep,5.8
669,2003,M10,2003 Oct,5.6
670,2003,M11,2003 Nov,5.6
671,2003,M12,2003 Dec,5.4
672,2004,M01,2004 Jan,6.3
673,2004,M02,2004 Feb,6.0
674,2004,M03,2004 Mar,6.0
675,2004,M04,2004 Apr,5.4
676,2004,M05,2004 May,5.3
677,2004,M06,2004 Jun,5.8
678,2004,M07,2004 Jul,5.7
679,2004,M08,2004 Aug,5.4
680,2004,M09,2004 Sep,5.1
681,2004,M10,2004 Oct,5.1
682,2004,M11,2004 Nov,5.2
683,2004,M12,2004 Dec,5.1
684,2005,M01,2005 Jan,5.7
685,2005,M02,2005 Feb,5.8
686,2005,M03,2005 Mar,5.4
687,2005,M04,2005 Apr,4.9
688,2005,M05,2005 May,4.9
689,2005,M06,2005 Jun,5.2
690,2005,M07,2005 Jul,5.2
691,2005,M08,2005 Aug,4.9
692,2005,M09,2005 Sep,4.8
693,2005,M10,2005 Oct,4.6
694,2005,M11,2005 Nov,4.8
695,2005,M12,2005 Dec,4.6
696,2006,M01,2006 Jan,5.1
697,2006,M02,2006 Feb,5.1
698,2006,M03,2006 Mar,4.8
699,2006,M04,2006 Apr,4.5
700,2006,M05,2006 May,4.4
701,2006,M06,2006 Jun,4.8
702,2006,M07,2006 Jul,5.0
703,2006,M08,2006 Aug,4.6
704,2006,M09,2006 Sep,4.4
705,2006,M10,2006 Oct,4.1
706,2006,M11,2006 Nov,4.3
707,2006,M12,2006 Dec,4.3
708,2007,M01,2007 Jan,5.0
709,2007,M02,2007 Feb,4.9
710,2007,M03,2007 Mar,4.5
711,2007,M04,2007 Apr,4.3
712,2007,M05,2007 May,4.3
713,2007,M06,2007 Jun,4.7
714,2007,M07,2007 Jul,4.9
715,2007,M08,2007 Aug,4.6
716,2007,M09,2007 Sep,4.5
717,2007,M10,2007 Oct,4.4
718,2007,M11,2007 Nov,4.5
719,2007,M12,2007 Dec,4.8
720,2008,M01,2008 Jan,5.4
721,2008,M02,2008 Feb,5.2
722,2008,M03,2008 Mar,5.2
723,2008,M04,2008 Apr,4.8
724,2008,M05,2008 May,5.2
725,2008,M06,2008 Jun,5.7
726,2008,M07,2008 Jul,6.0
727,2008,M08,2008 Aug,6.1
728,2008,M09,2008 Sep,6.0
729,2008,M10,2008 Oct,6.1
730,2008,M11,2008 Nov,6.5
731,2008,M12,2008 Dec,7.1
732,2009,M01,2009 Jan,8.5
733,2009,M02,2009 Feb,8.9
734,2009,M03,2009 Mar,9.0
735,2009,M04,2009 Apr,8.6
736,2009,M05,2009 May,9.1
737,2009,M06,2009 Jun,9.7
